code,description,code_type,source,year
0001F,Heart failure composite,Other,RVU2026A,2026
0005F,Osteoarthritis composite,Other,RVU2026A,2026
00100,Anes px salivary gland w/bx,CPT,RVU2026A,2026
00102,Anes px plstc rpr cleft lip,CPT,RVU2026A,2026
00103,Anes rcnstv px eyelid,CPT,RVU2026A,2026
00104,Anes electroconvulsive ther,CPT,RVU2026A,2026
00120,Anes px ear w/bx nos,CPT,RVU2026A,2026
00124,Anes px ear otoscopy,CPT,RVU2026A,2026
00126,Anes px ear tympanotomy,CPT,RVU2026A,2026
0012F,Cap bacterial assess,Other,RVU2026A,2026
00140,Anes procedures on eye nos,CPT,RVU2026A,2026
00142,Anes px on eye lens surgery,CPT,RVU2026A,2026
00144,Anes px eye corneal trnspl,CPT,RVU2026A,2026
00145,Anes px eye vitreortnl surg,CPT,RVU2026A,2026
00147,Anes px on eye iridectomy,CPT,RVU2026A,2026
00148,Anes px eye ophthalmoscopy,CPT,RVU2026A,2026
0014F,Comp preop assess cat surg,Other,RVU2026A,2026
0015F,Melan follow-up complete,Other,RVU2026A,2026
00160,Anes px nose&sinus nos,CPT,RVU2026A,2026
00162,Anes px nose&sinus rad surg,CPT,RVU2026A,2026
00164,Anes px nose&sins bx sft tis,CPT,RVU2026A,2026
00170,Anes intraoral px nos,CPT,RVU2026A,2026
00172,Anes ntroral px rpr clft pal,CPT,RVU2026A,2026
00174,Anes ntrorl exc rtrphrng tum,CPT,RVU2026A,2026
00176,Anes intraoral px rad surg,CPT,RVU2026A,2026
00190,Anes px facial b1/skull nos,CPT,RVU2026A,2026
00192,Anes px fcl b1/skl rad surg,CPT,RVU2026A,2026
00210,Anes intracranial px nos,CPT,RVU2026A,2026
00211,Anes icr px crnec/crnot hmtm,CPT,RVU2026A,2026
00212,Anes icr px subdural taps,CPT,RVU2026A,2026
00214,Anes icr px burr holes,CPT,RVU2026A,2026
00215,Anes icr px crnop/elvtn fx,CPT,RVU2026A,2026
00216,Anes icr px vascular px,CPT,RVU2026A,2026
00218,Anes icr px in sitting pos,CPT,RVU2026A,2026
00220,Anes icr px csf shunting px,CPT,RVU2026A,2026
00222,Anes icr px ecoag icr nrv,CPT,RVU2026A,2026
00300,Anes all px integ h/n/ptrunk,CPT,RVU2026A,2026
00320,Anes all px neck nos 1yr/>,CPT,RVU2026A,2026
00322,Anes all px nck ndl bx thyr,CPT,RVU2026A,2026
00326,Anes all px larynx&trach<1yr,CPT,RVU2026A,2026
00350,Anes px major vsl neck nos,CPT,RVU2026A,2026
00352,Anes px maj vsl nck smpl lig,CPT,RVU2026A,2026
00400,Anes integumentary sys nos,CPT,RVU2026A,2026
00402,Anes integ sys rcnstv breast,CPT,RVU2026A,2026
00404,Anes integ sys rad/modf brst,CPT,RVU2026A,2026
00406,Anes integ sys rad brst dsj,CPT,RVU2026A,2026
00410,Anes integ sys conv arrhyt,CPT,RVU2026A,2026
00450,Anes px clav&scapula nos,CPT,RVU2026A,2026
00454,Anes px clav&scapula bx clav,CPT,RVU2026A,2026
00470,Anes partial rib rescj nos,CPT,RVU2026A,2026
