HCPCS_CODE,in_hcpcs_2026,in_hedis,in_either,in_comprehensive
-,FALSE,FALSE,FALSE,FALSE
0,FALSE,FALSE,FALSE,FALSE
0000,FALSE,FALSE,FALSE,FALSE
00000,FALSE,FALSE,FALSE,FALSE
0000000,FALSE,FALSE,FALSE,FALSE
00001,FALSE,FALSE,FALSE,FALSE
00003,FALSE,FALSE,FALSE,FALSE
0001,FALSE,FALSE,FALSE,FALSE
00010,FALSE,FALSE,FALSE,FALSE
00014,FALSE,FALSE,FALSE,FALSE
00015,FALSE,FALSE,FALSE,FALSE
00016,FALSE,FALSE,FALSE,FALSE
00017,FALSE,FALSE,FALSE,FALSE
00018,FALSE,FALSE,FALSE,FALSE
0001A,FALSE,FALSE,FALSE,FALSE
0001F,FALSE,FALSE,FALSE,TRUE
0001M,FALSE,FALSE,FALSE,FALSE
0001U,FALSE,FALSE,FALSE,FALSE
00028,FALSE,FALSE,FALSE,FALSE
0002A,FALSE,FALSE,FALSE,FALSE
0003,FALSE,FALSE,FALSE,FALSE
00039,FALSE,FALSE,FALSE,FALSE
0003A,FALSE,FALSE,FALSE,FALSE
0003M,FALSE,FALSE,FALSE,FALSE
0003U,FALSE,FALSE,FALSE,FALSE
00042,FALSE,FALSE,FALSE,FALSE
00045,FALSE,FALSE,FALSE,FALSE
0004A,FALSE,FALSE,FALSE,FALSE
0005A,FALSE,FALSE,FALSE,FALSE
0005F,FALSE,FALSE,FALSE,TRUE
0005U,FALSE,FALSE,FALSE,FALSE
00067,FALSE,FALSE,FALSE,FALSE
00068,FALSE,FALSE,FALSE,FALSE
00069,FALSE,FALSE,FALSE,FALSE
00092,FALSE,FALSE,FALSE,FALSE
0009M,FALSE,FALSE,FALSE,FALSE
001,FALSE,FALSE,FALSE,FALSE
00102,FALSE,FALSE,FALSE,TRUE
00103,FALSE,FALSE,FALSE,TRUE
00104,FALSE,FALSE,FALSE,TRUE
00111,FALSE,FALSE,FALSE,FALSE
0011A,FALSE,FALSE,FALSE,FALSE
0011U,FALSE,FALSE,FALSE,FALSE
00120,FALSE,FALSE,FALSE,TRUE
00124,FALSE,FALSE,FALSE,TRUE
00126,FALSE,FALSE,FALSE,TRUE
0012A,FALSE,FALSE,FALSE,FALSE
0012F,FALSE,FALSE,FALSE,TRUE
0012M,FALSE,FALSE,FALSE,FALSE
0013A,FALSE,FALSE,FALSE,FALSE
00140,FALSE,FALSE,FALSE,TRUE
00142,FALSE,FALSE,FALSE,TRUE
00145,FALSE,FALSE,FALSE,TRUE
00147,FALSE,FALSE,FALSE,TRUE
00148,FALSE,FALSE,FALSE,TRUE
0014A,FALSE,FALSE,FALSE,FALSE
0014F,FALSE,FALSE,FALSE,TRUE
0014M,FALSE,FALSE,FALSE,FALSE
00160,FALSE,FALSE,FALSE,TRUE
00170,FALSE,FALSE,FALSE,TRUE
00174,FALSE,FALSE,FALSE,TRUE
0018U,FALSE,FALSE,FALSE,FALSE
00190,FALSE,FALSE,FALSE,TRUE
00192,FALSE,FALSE,FALSE,TRUE
00210,FALSE,FALSE,FALSE,TRUE
0021A,FALSE,FALSE,FALSE,FALSE
0022,FALSE,FALSE,FALSE,FALSE
00220,FALSE,FALSE,FALSE,TRUE
0022A,FALSE,FALSE,FALSE,FALSE
0023,FALSE,FALSE,FALSE,FALSE
0024U,FALSE,FALSE,FALSE,FALSE
00250,FALSE,FALSE,FALSE,FALSE
0026U,FALSE,FALSE,FALSE,FALSE
0029U,FALSE,FALSE,FALSE,FALSE
