HCPCS_CODE,prefix,code_type
-,-,Other
0,0,CPT (numeric)
0000,0,CPT (numeric)
00000,0,CPT (numeric)
0000000,0,CPT (numeric)
00001,0,CPT (numeric)
00003,0,CPT (numeric)
0001,0,CPT (numeric)
00010,0,CPT (numeric)
00014,0,CPT (numeric)
00015,0,CPT (numeric)
00016,0,CPT (numeric)
00017,0,CPT (numeric)
00018,0,CPT (numeric)
0001A,0,CPT (numeric)
0001F,0,CPT (numeric)
0001M,0,CPT (numeric)
0001U,0,CPT (numeric)
00028,0,CPT (numeric)
0002A,0,CPT (numeric)
0003,0,CPT (numeric)
00039,0,CPT (numeric)
0003A,0,CPT (numeric)
0003M,0,CPT (numeric)
0003U,0,CPT (numeric)
00042,0,CPT (numeric)
00045,0,CPT (numeric)
0004A,0,CPT (numeric)
0005A,0,CPT (numeric)
0005F,0,CPT (numeric)
0005U,0,CPT (numeric)
00067,0,CPT (numeric)
00068,0,CPT (numeric)
00069,0,CPT (numeric)
00092,0,CPT (numeric)
0009M,0,CPT (numeric)
001,0,CPT (numeric)
00102,0,CPT (numeric)
00103,0,CPT (numeric)
00104,0,CPT (numeric)
00111,0,CPT (numeric)
0011A,0,CPT (numeric)
0011U,0,CPT (numeric)
00120,0,CPT (numeric)
00124,0,CPT (numeric)
00126,0,CPT (numeric)
0012A,0,CPT (numeric)
0012F,0,CPT (numeric)
0012M,0,CPT (numeric)
0013A,0,CPT (numeric)
00140,0,CPT (numeric)
00142,0,CPT (numeric)
00145,0,CPT (numeric)
00147,0,CPT (numeric)
00148,0,CPT (numeric)
0014A,0,CPT (numeric)
0014F,0,CPT (numeric)
0014M,0,CPT (numeric)
00160,0,CPT (numeric)
00170,0,CPT (numeric)
00174,0,CPT (numeric)
0018U,0,CPT (numeric)
00190,0,CPT (numeric)
00192,0,CPT (numeric)
00210,0,CPT (numeric)
0021A,0,CPT (numeric)
0022,0,CPT (numeric)
00220,0,CPT (numeric)
0022A,0,CPT (numeric)
0023,0,CPT (numeric)
0024U,0,CPT (numeric)
00250,0,CPT (numeric)
0026U,0,CPT (numeric)
0029U,0,CPT (numeric)
00300,0,CPT (numeric)
0030U,0,CPT (numeric)
0031A,0,CPT (numeric)
0031U,0,CPT (numeric)
00320,0,CPT (numeric)
00326,0,CPT (numeric)
0032U,0,CPT (numeric)
0033U,0,CPT (numeric)
0034A,0,CPT (numeric)
0037U,0,CPT (numeric)
0038U,0,CPT (numeric)
00400,0,CPT (numeric)
00402,0,CPT (numeric)
0041A,0,CPT (numeric)
0042T,0,CPT (numeric)
0044A,0,CPT (numeric)
0047U,0,CPT (numeric)
00500,0,CPT (numeric)
00511,0,CPT (numeric)
0051A,0,CPT (numeric)
0051U,0,CPT (numeric)
00520,0,CPT (numeric)
0052A,0,CPT (numeric)
0052U,0,CPT (numeric)
00530,0,CPT (numeric)
00532,0,CPT (numeric)
00534,0,CPT (numeric)
00537,0,CPT (numeric)
0053A,0,CPT (numeric)
0054A,0,CPT (numeric)
0054T,0,CPT (numeric)
0054U,0,CPT (numeric)
0055T,0,CPT (numeric)
00560,0,CPT (numeric)
00561,0,CPT (numeric)
00562,0,CPT (numeric)
00563,0,CPT (numeric)
00600,0,CPT (numeric)
0060U,0,CPT (numeric)
0061U,0,CPT (numeric)
00630,0,CPT (numeric)
00635,0,CPT (numeric)
00640,0,CPT (numeric)
0064A,0,CPT (numeric)
0064U,0,CPT (numeric)
0065U,0,CPT (numeric)
00670,0,CPT (numeric)
0068U,0,CPT (numeric)
0070,0,CPT (numeric)
00700,0,CPT (numeric)
0071A,0,CPT (numeric)
0072A,0,CPT (numeric)
00730,0,CPT (numeric)
00731,0,CPT (numeric)
00732,0,CPT (numeric)
0073A,0,CPT (numeric)
00740,0,CPT (numeric)
0074A,0,CPT (numeric)
0075,0,CPT (numeric)
00750,0,CPT (numeric)
00752,0,CPT (numeric)
0077U,0,CPT (numeric)
0078U,0,CPT (numeric)
00790,0,CPT (numeric)
00797,0,CPT (numeric)
0080U,0,CPT (numeric)
00810,0,CPT (numeric)
00811,0,CPT (numeric)
00812,0,CPT (numeric)
00813,0,CPT (numeric)
0081A,0,CPT (numeric)
00820,0,CPT (numeric)
0082A,0,CPT (numeric)
00830,0,CPT (numeric)
00832,0,CPT (numeric)
0083A,0,CPT (numeric)
00840,0,CPT (numeric)
00848,0,CPT (numeric)
00851,0,CPT (numeric)
00860,0,CPT (numeric)
00862,0,CPT (numeric)
00873,0,CPT (numeric)
0087U,0,CPT (numeric)
00880,0,CPT (numeric)
0088U,0,CPT (numeric)
0089U,0,CPT (numeric)
00902,0,CPT (numeric)
00904,0,CPT (numeric)
0090U,0,CPT (numeric)
00910,0,CPT (numeric)
00914,0,CPT (numeric)
00918,0,CPT (numeric)
0091A,0,CPT (numeric)
00920,0,CPT (numeric)
0092A,0,CPT (numeric)
00930,0,CPT (numeric)
0093A,0,CPT (numeric)
00940,0,CPT (numeric)
00944,0,CPT (numeric)
0094A,0,CPT (numeric)
00952,0,CPT (numeric)
0097U,0,CPT (numeric)
0098U,0,CPT (numeric)
0099U,0,CPT (numeric)
00CH0,0,CPT (numeric)
00CV0,0,CPT (numeric)
00IM0,0,CPT (numeric)
01,0,CPT (numeric)
0100,0,CPT (numeric)
0100U,0,CPT (numeric)
0101,0,CPT (numeric)
0101T,0,CPT (numeric)
0105U,0,CPT (numeric)
0107U,0,CPT (numeric)
0108U,0,CPT (numeric)
0109U,0,CPT (numeric)
0110,0,CPT (numeric)
0110T,0,CPT (numeric)
0111,0,CPT (numeric)
01112,0,CPT (numeric)
0111A,0,CPT (numeric)
0112,0,CPT (numeric)
0112A,0,CPT (numeric)
0112U,0,CPT (numeric)
0113,0,CPT (numeric)
0113A,0,CPT (numeric)
